,0,1,2,3,4
64_3,0.7499722698261456,0.5669424447451502,0.6725565914206425,0.7034365413235446,0.7047367235323978
558_0,1.2380436150694694,1.1318920914279846,1.2050280583268083,1.2468748105472485,1.2124141641864201
557_4,1.588133712100825,1.789700721008947,1.7887783878486871,1.7436041636037778,1.7545353951808313
127_4,2.034676169809891,2.2798994787701874,-0.42984521711684637,2.278211313983786,2.4472032232127763
119_4,3.1641140352601997,3.1878827746279734,3.1566087716431195,3.1710336569292523,3.184184857477229
1560_2,0.0,-0.42507761494840446,-0.4267627942317918,4.016236366969332,-0.4426258546594413
193_2,4.963368131557095,4.904221949301334,4.82220328465551,4.956344772789142,4.949455136151125
694_2,0.0,0.0,5.959104554920431,2.938047483204934,0.0
695_3,-0.49621920625391036,6.807463558593386,0.0,3.9938826404971777,7.172005105545272
696_0,0.0,8.499833943054506,8.059904678891158,8.050853125122885,-0.4753116056346002
1057_3,9.5,0.0,10.0,0.0,0.0
ending_ending,0.0,0.0,0.0,0.0,0.0
746_3,-0.8912749534664736,-0.9020044744914802,-0.9131680557187223,-0.9042892002479153,-0.9126133671132047
747_1,-0.9669417029440409,-0.9883455444786993,-0.9794965468729756,-1.0312376586983565,-0.9706465444282535
508_0,-1.1432238343975603,-1.157133207377726,-1.1640279608923145,-1.2165296191885504,-1.1544632441472689
661_0,-1.3012017910714706,-1.3211427159376201,-1.3226660005165924,-1.3354741574428062,-1.4208554381097431
577_0,-1.3733165645554861,-1.4137195092072639,-1.3991111665792526,-1.4730585188846717,-1.4090596064495724
575_2,-1.4479704917391383,-1.5242196543005158,-1.4844843069219416,-1.484533947699005,-1.4682635373109314
576_1,-1.5243544803018914,-1.5356460915429404,-1.5334101618570248,-1.5783841327091976,-1.5357308815071455
802_0,-1.6082780125409866,-1.6551016884877197,-1.685929751715276,-1.646555736673695,-1.6641686509033886
945_4,-1.6913047599413187,-1.718297024995244,-1.7178049039076158,-1.7241534697227083,-1.7209732173792585
944_4,-1.757025492552747,-1.787005821093556,-1.7894515664847621,-1.8076646752663148,-1.796747395887042
1008_1,-1.8193392529522414,-1.8354405559784817,-1.8416024030985527,-1.8539860341598444,-1.838421775580613
1447_3,-1.9244882873532059,-1.9538948419923465,-1.9701653782429651,-1.948338171715607,-1.9270460636617441
1421_3,-1.9636056103709634,-1.9693435862803688,-2.0334968739160635,-2.002741960302043,-1.9699973187860298
813_4,-1.9736420414814153,-2.0922414415904296,-1.993761830051548,-2.044963859117437,-1.9892194032523602
368_3,-1.9796110436666072,-2.0207518814085748,-1.9973878249704662,-1.9951541707910732,-2.014050139442442
369_0,-1.9948758006835756,-2.0140768783724172,-1.9866195039256707,-1.985759776284484,-2.0031232909941297
814_0,-1.9167526202790466,-1.9984537605555444,-1.9334123966616255,-1.9455297268994978,-101.95459004231628
477_0,-1.8672431447734181,-1.8866055265074189,-1.886616017908628,-1.9010796975071496,-1.8849901595969731
1389_0,-1.8051392226920036,-1.8632084776215765,-1.8393592383793025,-1.837026373184808,-1.8431593707421356
1390_2,-1.7347986953270007,-1.7634259811777075,-1.7446055351500607,-1.7559085785704596,-1.745591065401547
1168_2,-1.6196506387836176,-1.6683838113625833,-1.6485666184344703,-1.6507277739737454,-1.6375790714872192
1167_2,-1.483775136890723,-1.5250614532340383,-1.5306545615878606,-1.5299350115456958,-1.529355073523233
1166_3,-1.32536455659444,-1.3689107635381261,-1.3699986691801418,-1.3741744222713652,-1.3706668070416617
1162_2,-1.1478878790170504,-1.1883597934124248,-1.1710014506750557,-1.206970162011269,-1.2083629105849283
1163_0,-0.9476330334680036,-1.0670891457921852,-0.9458059000621775,-0.9426418699462449,-0.9648731017310626
1154_4,-0.677863638912219,-0.7795613584955471,-0.7696763962406553,-0.7790474257850929,-0.8112064830178235
1150_4,-0.14745306172995543,-0.16277015240914727,-0.6878031817867054,-0.22314512906951028,-0.12171105497414848
103_2,0.2646172530500799,0.249551114062578,0.29127203249751155,0.2765643652783879,0.28081418714243583
64_0,-0.6898967042553295,-0.4980187897847737,0.3614766029205195,0.7034365413228724,0.503081037982652
558_1,1.1761413542058423,-0.4294921214725351,1.0737275208410884,1.1018248628782379,1.2124141664997312
557_3,1.8267720679779798,1.789700721008947,1.7895399345858365,1.7459325264130152,1.759987845998972
127_2,2.2888349933383627,-0.40439881705546826,2.2897132162214042,2.437976233968124,2.4472032232127763
119_3,-0.42931692892738216,3.1878827746279734,3.0325042258924624,-0.41506933515078476,2.875876604452084
1560_1,4.008831940625312,3.8925328352099475,4.017807324473184,4.003400659982576,3.9885876701993186
193_3,4.963368131556589,-0.47926773643136805,4.822203284675854,2.225650493019742,4.949455132284363
694_3,5.8522226856071935,6.009682559377352,-0.4858657786782646,-0.452942683534587,-0.44629835617938685
695_4,7.133325241822668,-0.4510645137472633,-0.4754401059760793,3.794189694156598,7.172005105825428
1057_4,9.99999984375,10.0,9.5,9.975,9.9999375
746_0,-0.8912749544837235,-0.9030953726418587,-0.9677743621287865,-0.9115172772047336,-0.9132287494051551
747_2,-0.9669361584382835,-1.0085247529553212,-0.976074912922588,-1.0118568364390301,-0.9749269075343134
509_2,-1.0507391715777437,-1.1019152043058513,-1.0933504077883875,-1.0848147198544176,-1.0776024874336099
508_3,-1.1432238526620877,-1.1568216558653064,-1.1639738793866443,-1.1623688156466276,-1.1532986385447466
507_0,-1.2180057715809751,-1.2559443179415073,-1.2641568055315935,-1.2527400435995655,-1.2504055652954023
661_2,-1.3012017910721168,-1.3219286991018215,-1.302661192437629,-1.336293920997647,-1.3102431837343598
577_4,-1.3733166833362398,-1.4081525114272329,-1.3967145811064474,-1.432640698315746,-1.4068375162540026
576_3,-1.5243544803018512,-1.5710051671018594,-1.569402370719872,-1.5748588680025313,-1.5641355946279556
802_3,-1.6082780125613543,-1.6216871381211728,-1.6250169977566975,-1.6287323659486226,-1.6604245987887345
945_2,-1.6913011390486608,-1.795436252870277,-1.713980168346149,-1.7237955543425736,-1.7225376401749646
1008_4,-1.819339264099902,-1.831726890956572,-1.8427910545964417,-1.838588333153393,-1.838143005441011
1448_1,-1.8693970800256556,-1.9023747385524759,-1.903670655879448,-1.8916895547378547,-1.9467993364759733
1447_4,-1.9244938062047132,-1.953965977719428,-1.9726195119116565,-1.94634682667209,-1.9756558093565613
1421_0,-1.9636056103709072,-1.9675406891983735,-2.0385246907024817,-2.0115478610475064,-1.9676812640211294
813_0,-1.9736420414388316,-2.0890778006264337,-1.9918688939215463,-2.047328606047523,-1.9891933395594315
368_4,-1.9796110247405774,-2.017724203543056,-1.9953156071888514,-2.004998554082586,-2.0070115428395896
369_1,-1.997017324585673,-2.012431086269701,-1.990042614926619,-1.9857597762844907,-2.005774503228933
1584_3,-1.9608130544167743,-2.074429206229244,-1.9774471612608202,-1.9978787707362222,-1.981506073161319
814_4,-1.916753139514001,-1.9928860369483201,-1.9352229605679012,-1.949233602111232,-100.2348667362915
